log10_k_ads,log10_k_des,log10_k_rxn
-3.190293,-1.777900,0.279691
-3.208412,-1.894236,0.500326
-3.141316,-2.448318,0.381884
-3.141432,-1.864743,0.451279
-3.335479,-1.548153,0.436618
-3.005549,-2.359496,0.422026
-2.864305,-1.254880,0.272633
-3.075360,-2.234177,0.308614
-2.992347,-1.415313,0.500270
-3.196029,-2.152874,0.371285
-3.500067,-1.428980,0.309000
-3.404551,-1.821631,0.350772
-2.922398,-1.092466,0.431053
-3.240717,-2.637566,0.454910
-3.046018,-1.644986,0.381621
-2.847700,-1.395476,0.392568
-3.045176,-2.344168,0.275418
-3.399161,-1.617757,0.513842
-3.251582,-1.140119,0.335683
-3.165721,-1.271359,0.393333
-3.201972,-0.871100,0.458688
-3.138089,-2.080235,0.306851
-3.112197,-2.251654,0.260434
-3.234356,-1.966436,0.503910
-3.249975,-1.166045,0.359859
-3.245504,-2.253247,0.499866
-3.316215,-2.030930,0.290940
-3.282087,-1.665446,0.252350
-3.344640,-1.360538,0.418442
-3.237706,-2.254444,0.335042
-3.238124,-1.533732,0.376308
-3.023445,-1.264033,0.460499
-3.287419,-1.486137,0.439609
-3.253977,-2.145774,0.423375
-3.214078,-1.777905,0.367849
-3.147955,-1.185479,0.431661
-3.252660,-1.533851,0.444473
-3.279695,-2.004248,0.401066
-3.200811,-1.462722,0.357184
-3.508642,-1.678240,0.364904
-3.158326,-1.078787,0.425452
-3.013328,-2.039333,0.440552
-3.039768,-1.712989,0.249850
-3.524105,-1.987300,0.358466
-3.137121,-1.664638,0.283886
-3.448497,-2.052719,0.413831
-3.260322,-2.005243,0.498972
-3.269711,-1.623552,0.429505
-2.908455,-1.795179,0.486785
-3.116769,-1.956118,0.492641
-3.177812,-1.586672,0.524298
-3.452851,-1.449693,0.468377
-3.151326,-1.100107,0.392004
-3.053075,-2.184827,0.334400
-3.246870,-0.875122,0.482754
-2.960970,-1.864602,0.392410
-3.419763,-1.313214,0.363956
-3.093418,-2.251674,0.312012
-3.231041,-1.566867,0.419179
-3.438900,-1.104183,0.455565
-3.167464,-2.416831,0.340244
-3.322191,-1.392402,0.250130
-3.131579,-1.345760,0.259358
-3.209539,-1.727105,0.534600
-3.193563,-2.369646,0.351658
