time_s,m28,m28_sigma,m32,m32_sigma,m44,m44_sigma
0.0000,5.445715e-12,2.653486e-13,4.115848e-11,5.292678e-13,1.354552e-13,2.027091e-13
0.0500,5.534726e-12,2.664167e-13,4.173827e-11,5.339061e-13,4.479810e-15,2.000896e-13
0.1000,5.214919e-12,2.625790e-13,4.224839e-11,5.379871e-13,-5.547870e-14,2.011096e-13
0.1500,5.504216e-12,2.660506e-13,4.145958e-11,5.316767e-13,-1.704335e-13,2.034087e-13
0.2000,5.376040e-12,2.645125e-13,4.108040e-11,5.286432e-13,-1.334174e-13,2.026683e-13
0.2500,5.553661e-12,2.666439e-13,4.265278e-11,5.412222e-13,-8.968258e-14,2.017937e-13
0.3000,5.383464e-12,2.646016e-13,4.179773e-11,5.343819e-13,5.532830e-13,2.110657e-13
0.3500,5.647678e-12,2.677721e-13,4.222476e-11,5.377981e-13,1.618903e-13,2.032378e-13
0.4000,5.129386e-12,2.615526e-13,4.175541e-11,5.340433e-13,2.520676e-13,2.050414e-13
0.4500,5.373537e-12,2.644824e-13,4.189891e-11,5.351913e-13,2.837470e-13,2.056749e-13
0.5000,5.258409e-12,2.631009e-13,4.219183e-11,5.375346e-13,3.602209e-14,2.007204e-13
0.5500,5.313452e-12,2.637614e-13,4.180902e-11,5.344721e-13,4.552422e-13,2.091048e-13
0.6000,5.537893e-12,2.664547e-13,4.210841e-11,5.368673e-13,7.113030e-14,2.014226e-13
0.6500,5.649249e-12,2.677910e-13,4.141057e-11,5.312846e-13,2.782410e-13,2.055648e-13
0.7000,5.293066e-12,2.635168e-13,4.166802e-11,5.333441e-13,1.887103e-14,2.003774e-13
0.7500,5.628257e-12,2.675391e-13,4.159421e-11,5.327537e-13,5.815055e-14,2.011630e-13
0.8000,5.460249e-12,2.655230e-13,4.202673e-11,5.362139e-13,4.549470e-14,2.009099e-13
0.8500,5.848088e-12,2.701771e-13,4.179869e-11,5.343895e-13,3.648247e-13,2.072965e-13
0.9000,5.552822e-12,2.666339e-13,4.168019e-11,5.334415e-13,6.073360e-13,2.121467e-13
0.9500,5.327981e-12,2.639358e-13,4.201087e-11,5.360870e-13,6.475827e-13,2.129517e-13
1.0000,5.345950e-12,2.641514e-13,4.195344e-11,5.356275e-13,-3.022782e-15,2.000605e-13
1.0500,5.309809e-12,2.637177e-13,4.239747e-11,5.391797e-13,4.050640e-13,2.081013e-13
1.1000,5.673027e-12,2.680763e-13,4.180407e-11,5.344326e-13,2.068664e-13,2.041373e-13
1.1500,5.736899e-12,2.688428e-13,4.198980e-11,5.359184e-13,4.211735e-13,2.084235e-13
1.2000,5.388698e-12,2.646644e-13,4.182589e-11,5.346071e-13,6.508447e-13,2.130169e-13
1.2500,5.652738e-12,2.678329e-13,4.170586e-11,5.336469e-13,8.547872e-13,2.170957e-13
1.3000,5.522272e-12,2.662673e-13,4.209678e-11,5.367743e-13,-9.178181e-15,2.001836e-13
1.3500,5.693725e-12,2.683247e-13,4.178198e-11,5.342558e-13,7.900036e-13,2.158001e-13
1.4000,5.707783e-12,2.684934e-13,4.184683e-11,5.347747e-13,5.109257e-13,2.102185e-13
1.4500,5.365000e-12,2.643800e-13,4.166356e-11,5.333085e-13,6.734215e-13,2.134684e-13
1.5000,5.277277e-12,2.633273e-13,4.161119e-11,5.328895e-13,5.595890e-13,2.111918e-13
1.5500,5.498470e-12,2.659816e-13,4.197386e-11,5.357909e-13,5.387742e-13,2.107755e-13
1.6000,5.247694e-12,2.629723e-13,4.179326e-11,5.343461e-13,1.693165e-13,2.033863e-13
1.6500,5.262634e-12,2.631516e-13,4.165370e-11,5.332296e-13,7.109714e-13,2.142194e-13
1.7000,5.364575e-12,2.643749e-13,4.153308e-11,5.322646e-13,1.775002e-13,2.035500e-13
1.7500,5.553628e-12,2.666435e-13,4.156639e-11,5.325311e-13,5.864107e-13,2.117282e-13
1.8000,5.178829e-12,2.621459e-13,4.177131e-11,5.341705e-13,5.805414e-13,2.116108e-13
1.8500,5.331661e-12,2.639799e-13,4.161555e-11,5.329244e-13,5.015647e-13,2.100313e-13
1.9000,5.668980e-12,2.680278e-13,4.143546e-11,5.314837e-13,4.876885e-13,2.097538e-13
1.9500,5.484333e-12,2.658120e-13,4.064404e-11,5.251523e-13,6.078794e-13,2.121576e-13
2.0000,5.466581e-12,2.655990e-13,4.232101e-11,5.385681e-13,2.773169e-13,2.055463e-13
2.0500,5.266693e-12,2.632003e-13,4.153573e-11,5.322859e-13,5.179567e-13,2.103591e-13
2.1000,5.554701e-12,2.666564e-13,4.129943e-11,5.303955e-13,4.979514e-13,2.099590e-13
2.1500,5.274973e-12,2.632997e-13,4.156786e-11,5.325429e-13,5.132711e-13,2.102654e-13
2.2000,5.248160e-12,2.629779e-13,4.168262e-11,5.334610e-13,8.899620e-13,2.177992e-13
2.2500,5.270955e-12,2.632515e-13,4.199746e-11,5.359797e-13,7.072987e-13,2.141460e-13
2.3000,5.262458e-12,2.631495e-13,4.170745e-11,5.336596e-13,8.925172e-13,2.178503e-13
2.3500,5.653441e-12,2.678413e-13,4.167073e-11,5.333658e-13,6.025414e-13,2.120508e-13
2.4000,5.560951e-12,2.667314e-13,4.205229e-11,5.364183e-13,6.794703e-13,2.135894e-13
2.4500,5.566953e-12,2.668034e-13,4.151986e-11,5.321589e-13,6.210311e-13,2.124206e-13
2.5000,5.368163e-12,2.644180e-13,4.224821e-11,5.379857e-13,5.589033e-13,2.111781e-13
2.5500,6.128181e-12,2.735382e-13,4.175120e-11,5.340096e-13,4.255880e-13,2.085118e-13
2.6000,5.512900e-12,2.661548e-13,4.149720e-11,5.319776e-13,9.735497e-13,2.194710e-13
2.6500,5.394445e-12,2.647333e-13,4.153126e-11,5.322501e-13,9.145540e-13,2.182911e-13
2.7000,5.670999e-12,2.680520e-13,4.147107e-11,5.317686e-13,4.951474e-13,2.099029e-13
2.7500,5.430430e-12,2.651652e-13,4.111977e-11,5.289582e-13,7.923787e-13,2.158476e-13
2.8000,5.091848e-12,2.611022e-13,4.259781e-11,5.407824e-13,7.673728e-13,2.153475e-13
2.8500,5.454464e-12,2.654536e-13,4.118904e-11,5.295123e-13,5.943347e-13,2.118867e-13
2.9000,5.437071e-12,2.652449e-13,4.108715e-11,5.286972e-13,3.722827e-13,2.074457e-13
2.9500,5.507511e-12,2.660901e-13,4.155870e-11,5.324696e-13,8.936061e-13,2.178721e-13
3.0000,5.869861e-12,2.704383e-13,4.183873e-11,5.347099e-13,7.321591e-13,2.146432e-13
3.0500,5.340582e-12,2.640870e-13,4.192674e-11,5.354139e-13,7.590768e-13,2.151815e-13
3.1000,5.424351e-12,2.650922e-13,4.246708e-11,5.397366e-13,7.376286e-13,2.147526e-13
3.1500,5.619070e-12,2.674288e-13,4.177643e-11,5.342114e-13,8.084290e-13,2.161686e-13
3.2000,5.487259e-12,2.658471e-13,4.183152e-11,5.346522e-13,9.186661e-13,2.183733e-13
3.2500,5.241303e-12,2.628956e-13,4.168889e-11,5.335111e-13,7.837761e-13,2.156755e-13
3.3000,5.277203e-12,2.633264e-13,4.104043e-11,5.283234e-13,6.450521e-13,2.129010e-13
3.3500,5.258564e-12,2.631028e-13,4.189477e-11,5.351582e-13,1.085816e-12,2.217163e-13
3.4000,5.663151e-12,2.679578e-13,4.170221e-11,5.336177e-13,6.656850e-13,2.133137e-13
3.4500,5.274652e-12,2.632958e-13,4.138209e-11,5.310567e-13,9.066998e-13,2.181340e-13
3.5000,5.416321e-12,2.649959e-13,4.177374e-11,5.341899e-13,1.134514e-12,2.226903e-13
3.5500,5.489910e-12,2.658789e-13,4.254327e-11,5.403462e-13,6.252200e-13,2.125044e-13
3.6000,5.589344e-12,2.670721e-13,4.176948e-11,5.341559e-13,7.902442e-13,2.158049e-13
3.6500,5.595141e-12,2.671417e-13,4.178065e-11,5.342452e-13,9.361248e-13,2.187225e-13
3.7000,5.294418e-12,2.635330e-13,4.131513e-11,5.305211e-13,6.792770e-13,2.135855e-13
